id_estudiante,genero,edad,consumo_cafeína,horas_sueno,nivel_estres,energia_dia,nivel_cafeina,horas_estudio
1,Male,20,2,8.1,5,9,Alto,4.4
2,Male,20,3,8.7,10,2,Alto,1.7
3,Female,22,4,5.1,6,9,Bajo,2.6
4,Male,24,5,5.0,5,4,Alto,1.9
5,Male,26,5,5.1,4,4,Bajo,4.8
6,Female,27,2,5.4,3,4,Alto,9.2
7,Female,29,2,8.3,8,6,Medio,1.1
8,Male,18,5,7.7,6,8,Alto,7.4
9,Female,21,5,7.0,6,4,Alto,1.9
10,Male,22,6,4.4,4,10,Bajo,8.0
11,Male,22,5,6.2,1,10,Medio,2.8
12,Male,23,2,7.1,4,1,Medio,1.9
13,Female,22,4,7.4,4,2,Medio,0.4
14,Male,24,0,7.4,4,2,Alto,0.4
15,Female,18,5,7.8,7,5,Bajo,4.3
16,Male,28,2,4.2,5,3,Bajo,9.6
17,Female,30,0,5.8,4,5,Medio,6.8
18,Female,26,3,7.0,10,2,Bajo,9.0
19,Male,27,6,4.2,4,4,Bajo,9.0
20,Female,30,2,7.9,9,9,Alto,4.6
21,Male,28,5,7.0,1,7,Alto,5.3
22,Male,28,5,5.2,5,1,Medio,9.8
23,Female,30,4,6.8,9,8,Alto,4.9
24,Male,29,5,8.3,8,3,Alto,6.9
25,Male,30,3,6.0,3,5,Medio,8.4
26,Male,23,3,8.0,6,5,Alto,5.6
27,Female,18,0,5.3,8,1,Medio,4.8
28,Female,27,1,7.4,4,10,Bajo,9.6
29,Male,19,0,6.8,4,8,Bajo,1.9
30,Male,28,0,4.9,2,1,Medio,6.4
31,Male,20,1,5.8,5,5,Alto,10.0
32,Female,25,4,8.8,5,1,Alto,0.7
33,Female,19,4,6.1,6,6,Medio,3.7
34,Female,23,6,8.7,3,8,Alto,9.8
35,Male,29,0,8.9,9,5,Medio,6.8
36,Female,23,2,5.6,10,4,Alto,1.5
37,Male,29,6,8.4,3,6,Medio,4.5
38,Female,18,0,7.6,2,3,Bajo,9.0
39,Male,23,4,8.2,9,4,Alto,3.3
40,Female,25,0,6.9,6,8,Alto,2.7
41,Male,25,5,4.8,2,1,Alto,0.4
42,Male,29,1,5.3,5,5,Bajo,0.6
43,Male,19,2,5.5,4,5,Alto,0.9
44,Female,27,5,7.5,2,6,Alto,9.8
45,Male,26,1,7.7,7,6,Bajo,9.9
46,Female,18,5,5.5,1,2,Bajo,3.3
47,Male,28,3,4.4,7,2,Bajo,0.3
48,Female,20,0,5.9,5,2,Bajo,5.0
49,Female,23,5,4.4,5,4,Bajo,3.2
50,Male,21,5,5.2,10,3,Medio,1.0
51,Female,19,1,7.8,6,6,Alto,2.8
52,Male,30,3,4.6,9,7,Medio,2.2
53,Male,26,5,5.0,4,1,Bajo,9.5
54,Male,19,0,6.0,3,1,Alto,8.3
55,Male,23,5,4.4,1,9,Bajo,2.6
56,Female,26,1,7.3,6,2,Alto,0.6
57,Female,18,4,7.7,5,10,Alto,9.0
58,Male,29,0,5.8,9,8,Bajo,4.8
59,Female,20,1,5.6,10,3,Medio,7.9
60,Female,20,4,8.4,5,6,Alto,0.4
61,Female,19,0,7.3,7,7,Alto,8.9
62,Female,20,3,7.7,6,1,Bajo,5.8
63,Female,20,6,7.0,3,1,Bajo,6.6
64,Female,26,6,7.7,2,2,Alto,4.4
65,Female,25,3,5.2,6,2,Alto,7.9
66,Male,23,3,8.7,6,6,Bajo,9.6
67,Female,19,0,5.4,3,6,Alto,1.8
68,Male,30,2,8.4,2,9,Alto,9.0
69,Male,24,3,6.9,6,2,Bajo,2.0
70,Female,22,6,6.4,2,6,Bajo,2.8
71,Female,28,1,6.1,1,9,Medio,8.7
72,Female,21,3,8.2,9,9,Medio,4.3
73,Male,22,4,4.4,9,4,Medio,5.8
74,Female,27,6,5.1,9,10,Medio,7.0
75,Female,27,2,4.7,6,9,Alto,7.1
76,Female,20,0,8.5,5,8,Alto,5.1
77,Female,18,3,4.5,3,8,Medio,5.1
78,Female,28,3,8.0,8,4,Bajo,8.2
79,Female,20,4,7.8,5,2,Bajo,2.1
80,Male,18,2,7.2,3,10,Bajo,1.8
81,Male,29,0,7.7,7,10,Bajo,6.0
82,Male,22,2,5.5,6,1,Alto,7.3
83,Male,25,3,6.8,9,9,Medio,2.3
84,Female,19,1,6.2,5,7,Alto,7.7
85,Male,22,2,6.7,6,4,Alto,3.8
86,Female,19,6,5.5,7,10,Bajo,5.2
87,Female,20,6,7.0,3,5,Medio,6.1
88,Male,19,3,6.8,9,3,Bajo,0.9
89,Male,20,1,8.1,10,8,Bajo,1.2
90,Female,29,6,4.7,7,1,Alto,1.7
91,Female,19,4,7.4,10,8,Bajo,5.8
92,Female,25,6,8.7,6,7,Alto,4.2
93,Female,29,6,6.1,10,1,Bajo,9.2
94,Female,19,0,4.0,2,5,Alto,8.0
95,Female,27,2,5.4,2,2,Medio,4.1
96,Male,24,4,7.5,9,6,Bajo,4.5
97,Male,20,4,5.0,2,6,Alto,9.5
98,Male,20,1,4.1,7,1,Medio,5.2
99,Male,29,4,8.6,8,2,Bajo,7.3
100,Male,25,3,7.4,1,1,Alto,2.6
